"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"65",0,0,0,0,-0.219999999999999,0,0.2,0,0,4.75999999999999,70.3099999999999,-5.09999999999991,7605,3638,0,-0.048972390000003,-3.30000000000001
"66",0,6414.10000000003,9519.5,11936.8,0.170000000000002,0.8,-0.4,-0.700000000000003,1.1,4.36000000000013,40.7000000000003,-16.85,7497,8724,28.3,-0.108934849999997,15.3
"67",0,0,0,0,0.590000000000003,0,0.2,0,0,-3.61000000000013,-40.7200000000003,11.66,1423,8872,0,-0.179752159999993,-30.1
"68",0,0,0,0,0.11999999999999,0,-0.3,0,0,0.799999999999955,-0.339999999999691,17.21,-3820,8672,0,-0.0557445600000079,12.2
"69",0,-333.100000000035,-5774.5,-6173.70000000001,-0.0999999999999943,-1.6,-0.0999999999999996,0.700000000000003,-1,-0.0199999999999818,111.03,76.5699999999999,-3132,6600,28.8,-0.0682428499999901,2.59999999999997
"70",0.25,0,0,0,-0.769999999999996,0,-0.1,0,0,-26.53,50.6400000000003,17.12,546,5557,0,-0.0559633900000023,7.19999999999999
"71",0,0,0,0,0.36999999999999,0,0.2,0,0,-19.26,-65.7800000000002,104.29,-2284,3895,0,2.31136069,32.7
"72",0,4733.30000000005,8069.59999999998,7364.70000000001,0.430000000000007,1.2,0.4,-0.700000000000003,-0.800000000000004,-19.0799999999999,53.21,-8.81000000000006,3482,604,17.1000000000001,-0.276596359999999,23.1
"73",0,0,0,0,0.789999999999992,0,0.899999999999999,0,0,12.8799999999999,-81.8400000000001,4.27999999999997,-1016,744,0,-0.495505739999999,-28.6
"74",0,0,0,0,-0.109999999999999,0,-0.0999999999999996,0,0,-7.68999999999983,12.4700000000003,11.97,7012,4777,0,-0.375763510000013,-30.6
"75",0,2761.5,-2346.69999999995,-2795.5,0.190000000000012,-0.5,-0.4,-0.100000000000001,0.100000000000001,-4.13000000000011,6.64999999999964,-16.05,-11535,5462,22,-0.354946539999986,-19.5
"76",0,0,0,0,0.0499999999999972,0,-0.0999999999999996,0,0,8.63000000000011,3.08000000000038,-13.24,-1247,6048,0,-0.38220195000001,1.89999999999998
"77",0,0,0,0,-0.210000000000008,0,-0.3,0,0,16.4099999999999,-66.79,-57.11,2155,5270,0,-0.323764409999995,9.80000000000001
"78",0,2605,989.699999999953,1591.29999999999,-0.199999999999989,0,0,-1.6,0.299999999999997,30,-110.26,-7.49000000000001,7061,5528,18,-0.318311550000004,24.3
"79",0,0,0,0,0.919999999999987,0,0.3,0,0,-1.64999999999986,-0.449999999999818,38.62,-991,5176,0,-0.306910829999993,68.8
"80",0,0,0,0,0.800000000000011,0,-0.4,0,0,-0.550000000000182,23.5299999999997,-99.67,2992,5698,0,-0.485592480000008,-60.6999999999999
"81",0,3929.19999999995,-1179.09999999998,-1088.29999999999,-0.190000000000012,0.3,-0.1,1.3,-0.799999999999997,10.21,-153.85,-37.1700000000001,5849,4030,19.3999999999999,-0.358527069999994,-43.1
"82",0.25,0,0,0,-0.75,0,-0.3,0,0,-2.23000000000002,-70.1500000000001,-11.29,-15524,2596,0,-0.276836740000007,-12.4
"83",0,0,0,0,-0.359999999999999,0,0.2,0,0,-5.67999999999984,-13.1999999999998,13.97,-9410,1582,0,-0.238844409999999,-4.5
"84",0,-1555.59999999998,847.5,266.599999999977,-0.109999999999999,-1.2,1.1,-1,-0.799999999999997,-0.900000000000091,31.8499999999999,49.25,6020,228,5.10000000000014,-1.99760085,-13.8
"85",0,0,0,0,0.450000000000003,0,0.2,0,0,0.450000000000045,108.22,2.73000000000002,-3405,3251,0,-0.0867199099999993,-5.60000000000002
"86",0,0,0,0,-0.200000000000003,0,-0.4,0,0,8.26999999999998,-48.29,13.2399999999999,4136,3637,0,-0.0873044199999953,2
"87",0,4628.40000000002,-2868,-910.099999999977,0.38000000000001,1.3,0.100000000000001,1.7,0,10.23,50.21,-40.55,-1757,3588,16.3,-0.112993920000008,16.6
"88",0,0,0,0,0.179999999999993,0,-0.4,0,0,42.3399999999999,-125.22,-0.659999999999968,-2065,3576,0,-0.0304881899999998,34
"89",0,0,0,0,-0.170000000000002,0,0,0,0,-7.67000000000007,18.4000000000001,-46.99,-157,2297,0,-0.0389632899999981,45.9
"90",-0.25,1730.89999999997,-29.2999999999884,1815.59999999998,-0.319999999999993,-0.6,-0.1,-1.4,0.299999999999997,-0.309999999999945,-25.8200000000002,-72.4300000000001,7725,2976,13.4000000000001,-0.0670138400000013,18.7
"91",0,0,0,0,0.25,0,-0.9,0,0,33.6700000000001,-135.24,37.9100000000001,1654,1926,0,-0.00306591999999739,-22.9
"92",0,0,0,0,0.390000000000001,0,0.1,0,0,-11.4300000000001,100.97,12.01,-4910,1715,0,0.0482943800000015,8
"93",-0.25,6069.5,2896.20000000001,2893.59999999998,0.259999999999991,0.9,-0.1,-0.0999999999999979,-0.600000000000001,-13.4199999999998,20.54,11.92,11306,1452,23.1999999999998,0.157410920000004,28.3
"94",0,0,0,0,-0.589999999999989,0,0.1,0,0,-16.6800000000001,63.04,-16.35,-1890,722,0,0.109021889999994,16.9999999999999
"95",0,0,0,0,0.25,0,0.3,0,0,8.38999999999987,18.2200000000003,30.58,-897,-1566,0,-0.0419141600000046,-23.3
"96",0,-6008.79999999999,-2796.40000000002,-3449,0.670000000000002,-2.6,0.7,0.399999999999999,1.6,-11.5599999999999,56.4299999999998,-3.82000000000005,-1433,-2352,17.2,-0.83474944999999,-23.9
"97",0,0,0,0,0.00999999999999091,0,0,0,0,29.51,-36.3200000000002,-117.86,15354,-2882,0,-0.259882869999998,-9.5
"98",-0.5,0,0,0,-0.259999999999991,0,0.100000000000001,0,0,26.3,-380.37,66.16,-10181,-1432,0,-0.871500690000005,-39.9
"99",0,-14596.2,-8584.90000000002,-10073.7,-0.590000000000003,-1.9,0,1.5,-1.5,5.1400000000001,62.8399999999999,79.6999999999999,-16365,-671,24.2,-0.501598369999996,-11.6
"100",-0.25,0,0,0,-0.240000000000009,0,0.3,0,0,3.44000000000005,115.58,48.2700000000001,1339,-1153,0,-0.145217790000004,37.9
"101",0,0,0,0,0.160000000000011,0,-0.2,0,0,-18.6600000000001,169.53,37.4499999999999,23800,-1963,0,-0.135382289999995,73
"102",0,9574.40000000002,11754.9,10511.5,-0.0100000000000051,5.3,-0.3,-1.9,1.2,-11.1099999999999,61.25,54.27,315,444,39.7,-0.319083370000001,14.7
"103",0,0,0,0,0.640000000000001,0,-0.9,0,0,-12.0500000000002,153.92,30.24,-21751,101,0,0.0770482799999996,-22.3000000000001
"104",0,0,0,0,0.700000000000003,0,0.5,0,0,-8.04999999999995,21.6500000000001,-32.89,52,1833,0,0.2838955,-7.5
"105",0,5611.29999999999,3607.59999999998,6386.19999999995,-0.590000000000003,-0.9,0.1,0,1.5,-34.1199999999999,-13.6999999999998,18.14,6166,-3770,44.5,0.356798470000001,3.39999999999998
"106",0,0,0,0,-0.109999999999999,0,-0.3,0,0,-27.9200000000001,146.36,77.24,-3258,-3714,0,0.0325103699999971,54.5
"107",0,9207.20000000001,9848.30000000005,11522.5,0.969999999999999,0.5,2.3,0.199999999999999,0.199999999999996,-19.27,585.09,47.29,2040,-8370,35.8,-0.29941814,-4.79999999999995
"108",0,0,0,0,0.530000000000001,0,-0.8,0,0,14.23,3.13999999999987,-18.3299999999999,-2633,-1790,0,-0.691189910000006,-17
"109",0,0,0,0,0.159999999999997,0,-0.600000000000001,0,0,19.3,-59.9400000000001,-21.65,-1955,-118237,0,-0.634004160000003,-18.3
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
