"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"20",0,0,0,0,0.191000000000003,0,-0.3,0,0,-29.6300000000001,87.4300000000001,2.58999999999992,2174,17024,0,0.400247360000009,10.4
"21",0,3090,1662,2154,-0.299999999999997,-0.1,0,0.599999999999998,0.0999999999999943,-20.55,45.29,-16.74,34391,17171,21.7,0.347834849999998,-7.5
"22",0,0,0,0,-0.0190000000000055,0,-0.1,0,0,-3.98000000000002,-19.76,-17.6399999999999,-3980,12282,0,0.287319279999991,-3.39999999999998
"23",0,0,0,0,0.119,0,0.4,0,0,-6.14999999999986,-21.5900000000001,16.27,13085,13479,0,0.24321999,14.1
"24",0,3773.5,4213.69999999995,1529.39999999997,0.528000000000006,0.2,0.4,-0.599999999999998,-0.199999999999996,8.07999999999993,-40.1099999999999,8.88999999999999,-25490,14705,4.69999999999993,0.356605220000006,8.19999999999999
"25",0,0,0,0,0.263999999999996,0,1.1,0,0,6.54999999999995,-10.49,19.9499999999999,13097,15008,0,0.268757129999997,-2
"26",0,0,0,0,0.182000000000002,0,-0.6,0,0,-0.409999999999854,14.7,18.6900000000001,4124,14706,0,0.228865690000006,-15
"27",0,3397,2103.40000000002,4793.40000000002,0.063999999999993,-0.1,-0.1,-0.100000000000001,0.5,-26.3400000000001,38.76,-8.97000000000003,-85,16248,13.1,0.0911022899999949,-8.59999999999997
"28",0,0,0,0,0.164000000000001,0,-0.3,0,0,-19.5599999999999,2.94000000000005,-18.28,-14442,16294,0,0.0409505399999972,1.69999999999999
"29",0,0,0,0,-0.128,0,0,0,0,-5.63,0.949999999999818,21.9599999999999,-263,15155,0,0.0705894099999966,6.60000000000002
"30",0,1238,2539.70000000001,2047.5,0.146000000000001,-0.6,-0.1,0.699999999999999,-0.300000000000004,0.569999999999936,26.8700000000001,2.08000000000004,9011,16682,20.6,0.0839333000000124,11.5
"31",-0.25,0,0,0,0.173000000000002,0,-0.1,0,0,5.42999999999995,38.9799999999998,16.67,944,16518,0,0.085243389999988,17.4
"32",0,0,0,0,-0.063999999999993,0,-0.2,0,0,7.88000000000011,-18.2199999999998,-15.88,7357,17995,0,0.0831395100000094,-2.5
"33",-0.25,1807.59999999998,5369.59999999998,6620.29999999999,-0.299999999999997,0.1,0.1,-0.699999999999999,0.700000000000003,27.04,-99.9100000000001,-15.26,21610,17270,26.0999999999999,0.0836759499999999,-10.4
"34",0,0,0,0,-0.200000000000003,0,-0.2,0,0,34.8199999999999,16.8500000000001,-2.76999999999998,-19147,12639,0,0.108882440000002,-3.80000000000001
"35",0,0,0,0,-0.0100000000000051,0,0.3,0,0,9.23000000000002,-17.72,37.76,6540,13233,0,0.13012676999999,10.1
"36",0,3479.79999999999,13285.9,14330.6,0.671999999999997,0.5,0.4,-0.5,1.4,-15.47,-20.9400000000001,28.5700000000001,-12310,14965,14.2,0.114869370000008,8.60000000000002
