"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"65",0,0,0,0,-0.219999999999999,0,0.2,0,0,4.75999999999999,70.3099999999999,-5.09999999999991,4451,3638,0,-0.349882099999988,-62.3
"66",0,6414.10000000003,9519.5,11936.8,0.170000000000002,0.8,-0.4,-0.700000000000003,1.1,4.36000000000013,40.7000000000003,-16.85,-503,8724,28.3,-0.163340560000009,42.8
"67",0,0,0,0,0.590000000000003,0,0.2,0,0,-3.61000000000013,-40.7200000000003,11.66,4106,8872,0,-0.233277479999998,-63.0999999999999
"68",0,0,0,0,0.11999999999999,0,-0.3,0,0,0.799999999999955,-0.339999999999691,17.21,-7959,8672,0,0.0939145499999938,93.6999999999999
"69",0,-333.100000000035,-5774.5,-6173.70000000001,-0.0999999999999943,-1.6,-0.0999999999999996,0.700000000000003,-1,-0.0199999999999818,111.03,76.5699999999999,-5598,6600,28.8,-0.0625407399999887,9.30000000000007
"70",0.25,0,0,0,-0.769999999999996,0,-0.1,0,0,-26.53,50.6400000000003,17.12,2526,5557,0,-0.107253010000008,59.6999999999999
"71",0,0,0,0,0.36999999999999,0,0.2,0,0,-19.26,-65.7800000000002,104.29,5339,3895,0,-0.0365992499999948,-0.199999999999932
"72",0,4733.30000000005,8069.59999999998,7364.70000000001,0.430000000000007,1.2,0.4,-0.700000000000003,-0.800000000000004,-19.0799999999999,53.21,-8.81000000000006,1257,604,17.1000000000001,-0.621005760000003,-17.2
"73",0,0,0,0,0.789999999999992,0,0.899999999999999,0,0,12.8799999999999,-81.8400000000001,4.27999999999997,-2907,744,0,-0.723994919999996,-83.8
"74",0,0,0,0,-0.109999999999999,0,-0.0999999999999996,0,0,-7.68999999999983,12.4700000000003,11.97,5368,4777,0,-0.602440229999999,-22.7
"75",0,2761.5,-2346.69999999995,-2795.5,0.190000000000012,-0.5,-0.4,-0.100000000000001,0.100000000000001,-4.13000000000011,6.64999999999964,-16.05,-10543,5462,22,-0.468064260000006,0.600000000000023
"76",0,0,0,0,0.0499999999999972,0,-0.0999999999999996,0,0,8.63000000000011,3.08000000000038,-13.24,2182,6048,0,-0.408376430000004,6
