idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(경기),총 인구(명),가계대출(조원),평균전세가율(경기),평균아파트매매가격(경기)
184,2017년 4월,1.25,437831.1,443499,443983.6,102.72,0.7,4.2,32.7,36.6,1132.73,2160.18,642.66,24267,51722903,1313,76.2821339,409.3
185,2017년 5월,1.25,437831.1,443499,443983.6,102.83,0.7,3.6,32.7,36.6,1125.28,2301.89,667.55,27063,51732586,1313,76.31323617,431
186,2017년 6월,1.25,437831.1,443499,443983.6,102.61,0.7,3.8,32.7,36.6,1130.04,2372.2,662.45,34668,51736224,1313,76.26426378,427.7
187,2017년 7월,1.25,444245.2,453018.5,455920.4,102.78,1.5,3.4,32,37.7,1134.4,2412.9,645.6,42165,51744948,1341.3,76.15532893,443
188,2017년 8월,1.25,444245.2,453018.5,455920.4,103.37,1.5,3.6,32,37.7,1130.79,2372.18,657.26,43588,51753820,1341.3,75.97557677,412.9
189,2017년 9월,1.25,444245.2,453018.5,455920.4,103.49,1.5,3.3,32,37.7,1131.59,2371.84,674.47,39768,51762492,1341.3,75.91983221,425.1
190,2017년 10월,1.25,443912.1,447244,449746.7,103.39,-0.1,3.2,32.7,36.7,1131.57,2482.87,751.04,36636,51769092,1370.1,75.85158936,427.7
191,2017년 11월,1.5,443912.1,447244,449746.7,102.62,-0.1,3.1,32.7,36.7,1105.04,2533.51,768.16,37182,51774649,1370.1,75.79562597,434.9
192,2017년 12월,1.5,443912.1,447244,449746.7,102.99,-0.1,3.3,32.7,36.7,1085.78,2467.73,872.45,34898,51778544,1370.1,78.10698666,467.6
193,2018년 1월,1.5,448645.4,455313.6,457111.4,103.42,1.1,3.7,32,35.9,1066.7,2520.94,863.64,38380,51779148,1387.2,77.8303903,490.7
194,2018년 2월,1.5,448645.4,455313.6,457111.4,104.21,1.1,4.6,32,35.9,1079.58,2439.1,867.92,37364,51779892,1387.2,77.33488456,462.1
195,2018년 3월,1.5,448645.4,455313.6,457111.4,104.1,1.1,4.5,32,35.9,1071.89,2451.57,879.89,44376,51784669,1387.2,76.95912105,431.5
196,2018년 4월,1.5,451406.9,452966.9,454315.9,104.29,0.6,4.1,31.9,36,1067.76,2458.22,863.84,32841,51790131,1409.2,76.60417451,412
197,2018년 5월,1.5,451406.9,452966.9,454315.9,104.34,0.6,4,31.9,36,1076.39,2461.3,850.6,31594,51796179,1409.2,76.22197256,413.9
198,2018년 6월,1.5,451406.9,452966.9,454315.9,104.13,0.6,3.7,31.9,36,1092.8,2394.51,793.49,33749,51801449,1409.2,75.89820815,423.7
199,2018년 7월,1.5,454011.9,453956.6,455907.2,103.93,0.6,3.7,30.3,36.3,1122.8,2284.25,786,40810,51806977,1427.2,75.5798966,448
200,2018년 8월,1.5,454011.9,453956.6,455907.2,104.85,0.6,4,30.3,36.3,1121.15,2283.8,824.62,39819,51812153,1427.2,75.27298577,516.8
201,2018년 9월,1.5,454011.9,453956.6,455907.2,105.65,0.6,3.6,30.3,36.3,1120.6,2307.33,724.95,42811,51817851,1427.2,74.78739329,456.1
202,2018년 10월,1.5,457941.1,452777.5,454818.9,105.46,0.9,3.5,31.6,35.5,1130.81,2153.48,687.78,48660,51821881,1446.6,74.42886622,413
203,2018년 11월,1.75,457941.1,452777.5,454818.9,104.71,0.9,3.2,31.6,35.5,1128.58,2083.33,676.49,33136,51824477,1446.6,74.15202948,400.6
204,2018년 12월,1.75,457941.1,452777.5,454818.9,104.35,0.9,3.4,31.6,35.5,1122.9,2070.13,690.46,23726,51826059,1446.6,73.91318507,396.1
205,2019년 1월,1.75,456385.5,453625,455085.5,104.24,-0.3,4.5,30.6,34.7,1122,2101.98,739.71,29746,51826287,1451.7,71.91558422,382.3
206,2019년 2월,1.75,456385.5,453625,455085.5,104.69,-0.3,4.7,30.6,34.7,1122.45,2210.2,742.44,26341,51829538,1451.7,71.82886431,376.7
207,2019년 3월,1.75,456385.5,453625,455085.5,104.49,-0.3,4.3,30.6,34.7,1130.72,2161.91,755.68,30477,51833175,1451.7,71.74155989,378.7
208,2019년 4월,1.75,461013.9,450757,454175.4,104.87,1,4.4,32.3,34.7,1140.95,2212.12,715.13,28720,51836763,1468,71.62856597,395.3
209,2019년 5월,1.75,461013.9,450757,454175.4,105.05,1,4,32.3,34.7,1183.29,2086.9,714.47,26655,51840339,1468,71.59807778,429.3
210,2019년 6월,1.75,461013.9,450757,454175.4,104.88,1,4,32.3,34.7,1175.62,2105.3,667.48,26498,51842636,1468,71.55911449,475.2
211,2019년 7월,1.5,462744.8,450727.7,455991,104.56,0.4,3.9,30.9,35,1175.31,2079.48,595.05,34223,51845612,1481.4,71.49210065,493.9
212,2019년 8월,1.5,462744.8,450727.7,455991,104.81,0.4,3,30.9,35,1208.98,1944.24,632.96,35877,51847538,1481.4,71.48903473,471
213,2019년 9월,1.5,462744.8,450727.7,455991,105.2,0.4,3.1,30.9,35,1197.55,2045.21,644.97,30967,51849253,1481.4,71.53732911,479
214,2019년 10월,1.25,468814.3,453623.9,458884.6,105.46,1.3,3,30.8,34.4,1184.13,2065.75,656.89,42273,51850705,1504.6,71.69474003,507.3
215,2019년 11월,1.25,468814.3,453623.9,458884.6,104.87,1.3,3.1,30.8,34.4,1167.45,2128.79,640.54,40383,51851427,1504.6,71.80376192,524.3
216,2019년 12월,1.25,468814.3,453623.9,458884.6,105.12,1.3,3.4,30.8,34.4,1175.84,2147.01,671.12,39486,51849861,1504.6,71.76184776,501
217,2020년 1월,1.25,462805.5,450827.5,455435.6,105.79,-1.3,4.1,31.2,36,1164.28,2203.44,667.3,38053,51847509,1521.8,70.92709831,477.1
218,2020년 2월,1.25,462805.5,450827.5,455435.6,105.8,-1.3,4.1,31.2,36,1193.79,2167.12,549.44,53407,51844627,1521.8,70.66721544,467.6
219,2020년 3월,0.75,462805.5,450827.5,455435.6,105.54,-1.3,4.2,31.2,36,1220.09,1786.75,615.6,43226,51843195,1521.8,69.79571475,427.7
220,2020년 4월,0.75,448209.3,442242.6,445361.9,104.95,-3.2,4.2,32.7,34.5,1225.23,1849.59,695.3,26861,51842524,1546,69.29411638,416.1
221,2020년 5월,0.5,448209.3,442242.6,445361.9,104.71,-3.2,4.5,32.7,34.5,1228.67,1965.17,743.57,28200,51841371,1546,69.14889859,454
222,2020년 6월,0.5,448209.3,442242.6,445361.9,104.87,-3.2,4.3,32.7,34.5,1210.01,2134.7,781.02,52000,51839408,1546,69.0135163,527
223,2020년 7월,0.5,457783.7,453997.5,455873.4,104.86,2.1,4,30.8,35.7,1198.9,2195.95,835.29,52315,51839852,1585.7,68.69443293,541.7
224,2020년 8월,0.5,457783.7,453997.5,455873.4,105.5,2.1,3.1,30.8,35.7,1186.85,2349.87,865.53,30564,51839953,1585.7,68.77148121,519.4
225,2020년 9월,0.5,457783.7,453997.5,455873.4,106.2,2.1,3.6,30.8,35.7,1178.8,2371.52,832.64,30616,51841786,1585.7,69.05537671,511.9
226,2020년 10월,0.5,463395,457605.1,462259.6,105.61,1.2,3.7,30.8,37.2,1144.68,2357.82,850.78,36782,51838016,1630.2,69.41217518,515.3
227,2020년 11월,0.5,463395,457605.1,462259.6,105.5,1.2,3.4,30.8,37.2,1116.76,2504.18,928.02,33524,51834302,1630.2,69.44468555,569.8
228,2020년 12월,0.5,463395,457605.1,462259.6,105.67,1.2,4.1,30.8,37.2,1095.13,2755.77,,50371,51829023,1630.2,69.47422921,580.6
229,2021년 1월,0.5,472602.2,467453.4,473782.1,106.47,1.7,5.7,31,37.4,1097.49,3089.27,975.31,35564,51825932,1666,69.14526741,565
230,2021년 2월,0.5,472602.2,467453.4,473782.1,107,1.7,4.9,31,37.4,1111.72,3092.41,956.98,32931,51824142,1666,68.4540775,548
231,2021년 3월,0.5,472602.2,467453.4,473782.1,107.16,1.7,4.3,31,37.4,1131.02,3032.47,935.33,30976,51705905,1666,67.82007334,529.7
232,2021년 4월,0.5,,,,107.39,,4,,,1119.4,3165.08,1001.79,31944,51702100,,67.10656514,541.6
233,2021년 5월,0.5,,,,107.46,,4,,,1123.28,3169.2,969.08,30405,51683025,,66.54523633,
234,2021년 6월,,,,,107.39,,,,,1121.3,,,,51672400,,65.60604092,
