idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
62,2007년 2월,4.5,313924.1,309598.4,307812.9,80.64,1.7,3.2,33.5,33.3,955.16,1434.89,593.23,73991,,581.2,,200.6
63,2007년 3월,4.5,313924.1,309598.4,307812.9,81.189,1.7,3.3,33.5,33.3,950.15,1431.62,602.08,58251,,581.2,,207.4
64,2007년 4월,4.5,313924.1,309598.4,307812.9,81.66,1.7,3.6,34,33.6,960.72,1517.12,627.46,66322,,581.2,,209.1
65,2007년 5월,4.5,319355.9,314353.9,313384.4,81.973,1.7,3.7,34,33.6,953.68,1614.94,678,65131,,597.9,,213.3
66,2007년 6월,4.5,319355.9,314353.9,313384.4,82.052,1.7,3.5,34,33.6,954.23,1754.28,709.78,60259,,597.9,,241
67,2007년 7월,4.5,319355.9,314353.9,313384.4,82.052,1.7,3.4,32.1,34,936.22,1911.56,779.11,56597,,597.9,,236.6
68,2007년 8월,4.75,323104.6,318753.1,319398.1,82.366,1.2,3.2,32.1,34,925.75,1815.02,811.99,60879,,609.9,,227.5
69,2007년 9월,5,323104.6,318753.1,319398.1,82.444,1.2,3.2,32.1,34,936.36,1879.03,764.46,61780,,609.9,,236.2
70,2007년 10월,5,323104.6,318753.1,319398.1,82.915,1.2,3.3,33.4,34.2,937.02,2004.55,777.61,52626,,609.9,,235.2
71,2007년 11월,5,330073.8,322265.2,321277,83.072,2.2,3.1,33.4,34.2,943.26,1924.84,801.55,75305,,630.1,,238.2
72,2007년 12월,5,330073.8,322265.2,321277,83.072,2.2,3,33.4,34.2,931.5,1903.99,755.69,74921,,630.1,,247.7
73,2008년 1월,5,330073.8,322265.2,321277,83.386,2.2,3,33.7,33.2,927.91,1732.29,722.26,69932,,630.1,,241.3
74,2008년 2월,5,331402,319817.7,320608.2,83.777,0.4,3,33.7,33.2,928.32,1689.53,667.12,71866,49297732,641.7,,248
75,2008년 3월,5,331402,319817.7,320608.2,84.092,0.4,3.1,33.7,33.2,918.85,1651.15,647.38,66784,49329973,641.7,,263.5
76,2008년 4월,5,331402,319817.7,320608.2,84.876,0.4,3.3,35,33.5,933.8,1776.58,627.49,82255,49324670,641.7,,273.7
77,2008년 5월,5,333136.8,319443.8,318836.2,85.347,0.5,3.5,35,33.5,932.41,1846.75,647.78,90011,49355153,660.8,,273.3
78,2008년 6월,5,333136.8,319443.8,318836.2,86.052,0.5,3.4,35,33.5,915.86,1758.17,649.49,77417,49380296,660.8,,261.5
79,2008년 7월,5,333136.8,319443.8,318836.2,86.601,0.5,3.2,36.7,33.1,916.98,1569.6,619.33,77084,49387462,660.8,,237.2
80,2008년 8월,5,335854.8,318949.2,317404.7,87.229,0.8,3.1,36.7,33.1,930.24,1537.55,536.92,78684,49416162,675,,221.1
81,2008년 9월,5.25,335854.8,318949.2,317404.7,87.072,0.8,3.1,36.7,33.1,942.39,1446.56,507.14,58913,49441742,675,,204.8
82,2008년 10월,5.25,335854.8,318949.2,317404.7,87.151,0.8,3.1,29.2,34,944.69,1201.7,444.16,57475,49469003,675,,187.4
83,2008년 11월,4.25,324825.7,308136.4,309824.5,87.072,-3.3,3.1,29.2,34,979.86,1073.95,348.31,62073,49495874,683.6,,206
84,2008년 12월,4,324825.7,308136.4,309824.5,86.837,-3.3,3,29.2,34,986.66,1114.9,310.48,48565,49516085,683.6,,222.6
85,2009년 1월,3,324825.7,308136.4,309824.5,86.837,-3.3,3,26.8,33.8,1036.73,1156.37,324.98,47428,49540367,683.6,,289.2
86,2009년 2월,2.5,325118,311304,310313.4,86.916,0.1,3,26.8,33.8,1029.27,1139.75,355.1,42098,49552045,684.4,,267.5
87,2009년 3월,2,325118,311304,310313.4,87.543,0.1,3.3,26.8,33.8,1019.12,1140.45,377.44,56443,49577741,684.4,,261.2
88,2009년 4월,2,325118,311304,310313.4,88.17,0.1,3.6,27.8,33,1041.54,1322.1,390.98,70996,49596381,684.4,,302.4
89,2009년 5월,2,329451.1,324948.2,325010.6,88.405,1.3,3.9,27.8,33,1130.4,1400.5,484.22,71353,49593665,700.1,,284
90,2009년 6월,2,329451.1,324948.2,325010.6,88.405,1.3,4,27.8,33,1326.92,1395.24,533.82,65763,49618780,700.1,,311.8
91,2009년 7월,2,329451.1,324948.2,325010.6,88.327,1.3,3.8,31.6,33.9,1390.09,1460.03,516.39,75123,49642216,700.1,,296.7
92,2009년 8월,2,339310.5,330947.5,330728.8,88.641,3,3.8,31.6,33.9,1373.84,1577.91,496.39,79427,49665471,717,,308.6
93,2009년 9월,2,339310.5,330947.5,330728.8,88.955,3,3.8,31.6,33.9,1346.1,1659.45,515.61,76345,49688156,717,,273.6
94,2009년 10월,2,339310.5,330947.5,330728.8,89.034,3,3.7,31.5,33.4,1429.46,1630.61,523.16,85778,49711355,717,,235.7
95,2009년 11월,2,341844.7,332611.9,332007.7,88.798,0.7,3.7,31.5,33.4,1461.98,1583.47,501.83,82308,49736280,734.3,,231.8
96,2009년 12월,2,341844.7,332611.9,332007.7,88.955,0.7,3.3,31.5,33.4,1341.9,1646.64,477.15,72547,49759141,734.3,,250.2
97,2010년 1월,2,341844.7,332611.9,332007.7,89.269,0.7,3.2,33.7,34.9,1258.71,1682.16,498.35,75214,49773145,734.3,,266.6
