idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
27,2004년 3월,3.75,274198,278703.3,278246.4,75.359,1.3,4.1,31.9,35.6,1199.78,789.05,439.05,,,447.6,,
28,2004년 4월,3.75,274198,278703.3,278246.4,76.091,0.8,4,31.9,35.9,1194.02,801.18,431.49,,,447.6,,
29,2004년 5월,3.75,276291.5,279781.2,278583.3,76.091,0.8,3.7,32.7,35.9,1181.59,845.53,463.2,,,453.1,,
30,2004년 6월,3.75,276291.5,279781.2,278583.3,76.025,0.8,3.5,32.7,35.9,1178.42,867.45,408.41,,,453.1,,
31,2004년 7월,3.75,276291.5,279781.2,278583.3,76.025,0.4,3.4,32.7,35.8,1166.17,875.58,383.97,,,453.1,,
32,2004년 8월,3.75,277412.1,280328.3,279647.3,76.491,0.4,3.6,33,35.8,1166.27,907.14,358.98,,,458.5,,
33,2004년 9월,3.5,277412.1,280328.3,279647.3,77.156,0.4,3.6,33,35.8,1184.87,798.79,344.08,,,458.5,,
34,2004년 10월,3.5,277412.1,280328.3,279647.3,77.156,0.8,3.3,33,35.7,1192.95,771.61,368.12,,,458.5,,
35,2004년 11월,3.5,279514.7,284030.8,284560,77.156,0.8,3.4,32.2,35.7,1184.32,746.07,365.1,,,468.9,,
36,2004년 12월,3.25,279514.7,284030.8,284560,76.691,0.8,3.5,32.2,35.7,1166.69,770.31,367.72,,,468.9,,
37,2005년 1월,3.25,279514.7,284030.8,284560,76.824,0.9,3.8,32.2,34.9,1166.34,835.92,376.91,,,468.9,,
38,2005년 2월,3.25,281893.1,285390.5,284782.6,77.58,0.9,4.3,32.9,34.9,1150.85,849.11,436.91,,,472.4,,
39,2005년 3월,3.25,281893.1,285390.5,284782.6,77.895,0.9,4.3,32.9,34.9,1177.37,863.1,492.31,,,472.4,,
40,2005년 4월,3.25,281893.1,285390.5,284782.6,78.365,1.9,4.1,32.9,34.1,1158.65,873.06,474.28,,,472.4,,
41,2005년 5월,3.25,287212.6,288224.3,286402.7,78.444,1.9,3.8,32.1,34.1,1157.66,903.35,448.71,,,490.7,,
42,2005년 6월,3.25,287212.6,288224.3,286402.7,78.365,1.9,3.6,32.1,34.1,1159,964.48,441.46,,,490.7,,
43,2005년 7월,3.25,287212.6,288224.3,286402.7,78.129,1.5,3.6,32.1,33.7,1147.97,988.23,487.55,,,490.7,,
44,2005년 8월,3.25,291536.1,290051.3,286889.4,78.444,1.5,3.7,33.1,33.7,1144.04,955.41,525.01,,,501.6,,
45,2005년 9월,3.25,291536.1,290051.3,286889.4,78.679,1.5,3.6,33.1,33.7,1091.19,938.98,517.15,,,501.6,,
46,2005년 10월,3.25,291536.1,290051.3,286889.4,79.071,1,3.6,33.1,34.1,1050.91,991.34,538.37,,,501.6,,
47,2005년 11월,3.5,294487.8,292554,290141,78.914,1,3.6,33.4,34.1,1038.23,1058.71,591.7,,,514.8,,
48,2005년 12월,3.5,294487.8,292554,290141,78.6,1,3.3,33.4,34.1,1022.43,1101.84,652.37,,,514.8,,
49,2006년 1월,3.75,294487.8,292554,290141,78.836,1.6,3.5,33.4,33.2,1007.49,1171.02,721.05,1982,,514.8,,100.6
50,2006년 2월,3.75,299314.8,294724.3,293016.1,79.306,1.6,3.8,32.6,33.2,1010.94,1190.86,708.27,2690,,522.4,,101.8
51,2006년 3월,4,299314.8,294724.3,293016.1,79.464,1.6,4.1,32.6,33.2,1002.21,1253.26,656.84,3307,,522.4,,100.1
52,2006년 4월,4,299314.8,294724.3,293016.1,79.934,0.7,3.9,32.6,32.8,1010.87,1338.81,657.5,2224,,522.4,,100.8
53,2006년 5월,4,301501.6,296380.1,295371.9,80.013,0.7,3.5,34.2,32.8,1037.44,1379.32,693.71,2474,,540.5,,99.8
54,2006년 6월,4,301501.6,296380.1,295371.9,80.169,0.7,3.2,34.2,32.8,1021.17,1341.72,663.35,2397,,540.5,,96.9
55,2006년 7월,4.25,301501.6,296380.1,295371.9,80.013,1.6,3.4,34.2,33.5,1029.33,1331.72,576.71,2036,,540.5,,99
56,2006년 8월,4.25,306367.7,300509.3,300210.5,80.326,1.6,3.4,32.5,33.5,1046.25,1415.92,563.45,1571,,553.1,,100.3
57,2006년 9월,4.5,306367.7,300509.3,300210.5,80.797,1.6,3.4,32.5,33.5,1041.43,1388.83,553.36,2409,,553.1,,98.4
58,2006년 10월,4.5,306367.7,300509.3,300210.5,81.032,0.8,3.2,32.5,33.3,1024.15,1249.19,597.94,2374,,553.1,,98.6
59,2006년 11월,4.5,308755.4,305729.9,305369.8,80.64,0.8,3.3,34.1,33.3,987.03,1278,577.5,3880,,575.6,,95.8
60,2006년 12월,4.5,308755.4,305729.9,305369.8,80.248,0.8,3.2,34.1,33.3,970.22,1316.08,607.57,2308,,575.6,,95.7
61,2007년 1월,4.5,308755.4,305729.9,305369.8,80.483,1.7,3.3,34.1,33.3,975.09,1356.53,608.56,2160,,575.6,,99.3
62,2007년 2월,4.5,313924.1,309598.4,307812.9,80.64,1.7,3.6,32,33.3,954.44,1354.04,593.23,1512,,581.2,,100.4
63,2007년 3월,4.5,313924.1,309598.4,307812.9,81.189,1.7,3.7,32,33.3,941.4,1403.93,602.08,2554,,581.2,,97.7
64,2007년 4월,4.5,313924.1,309598.4,307812.9,81.66,1.7,3.5,32,33.6,955.16,1418.83,627.46,1817,,581.2,,98.1
65,2007년 5월,4.5,319355.9,314353.9,313384.4,81.973,1.7,3.4,33.5,33.6,950.15,1379.25,678,1523,,597.9,,96.8
66,2007년 6월,4.5,319355.9,314353.9,313384.4,82.052,1.7,3.2,33.5,33.6,960.72,1434.89,709.78,1579,,597.9,,98.4
67,2007년 7월,4.5,319355.9,314353.9,313384.4,82.052,1.2,3.2,33.5,34,953.68,1431.62,779.11,1491,,597.9,,98.9
68,2007년 8월,4.75,323104.6,318753.1,319398.1,82.366,1.2,3.3,34,34,954.23,1517.12,811.99,2708,,609.9,,100.7
69,2007년 9월,5,323104.6,318753.1,319398.1,82.444,1.2,3.1,34,34,936.22,1614.94,764.46,2287,,609.9,,102.6
70,2007년 10월,5,323104.6,318753.1,319398.1,82.915,2.2,3,34,34.2,925.75,1754.28,777.61,3821,,609.9,,103.6
71,2007년 11월,5,330073.8,322265.2,321277,83.072,2.2,3,32.1,34.2,936.36,1911.56,801.55,2335,,630.1,,101.9
