idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),평균아파트매매가격(전국)
104,2010년 8월,2.25,359266.2,351857.4,353549.2,91.34,1.2,3.3,32.1,35.6,1179.92,1762.18,482.36,51744,49976963,771,,227.6
105,2010년 9월,2.25,359266.2,351857.4,353549.2,92.068,1.2,3.4,32.1,35.6,1167.01,1815.75,509.94,52550,50001273,771,,237.1
106,2010년 10월,2.25,363646.8,351046.3,348931.8,92.068,1.2,3.3,33.4,34.5,1123.45,1889.7,514.88,65937,50475351,793.8,,251.4
107,2010년 11월,2.5,363646.8,351046.3,348931.8,91.613,1.2,3,33.4,34.5,1126.2,1924.71,505.36,78266,50495462,793.8,,276.6
108,2010년 12월,2.5,363646.8,351046.3,348931.8,91.977,1.2,3.5,33.4,34.5,1147.55,2002.5,528.6,99378,50515666,793.8,,282.9
109,2011년 1월,2.75,367040.1,347744.6,348249.7,93.07,0.9,3.8,33.9,34.3,1120.07,2091.61,517.58,71306,50534731,806.4,,286.6
110,2011년 2월,2.75,367040.1,347744.6,348249.7,93.707,0.9,4.5,33.9,34.3,1118.14,2002.87,510.59,73658,50555262,806.4,,271.1
111,2011년 3월,3,367040.1,347744.6,348249.7,94.072,0.9,4.3,33.9,34.3,1122.45,2002.67,528.44,91085,50575130,806.4,,254.8
112,2011년 4월,3,368841.5,352078.6,354035.9,94.163,0.5,3.7,34.7,34.3,1086.84,2153.13,494.71,80693,50594424,826.9,,249.6
113,2011년 5월,3,368841.5,352078.6,354035.9,94.345,0.5,3.2,34.7,34.3,1083.54,2121.87,469.03,72731,50613213,826.9,,255.4
114,2011년 6월,3.25,368841.5,352078.6,354035.9,94.527,0.5,3.3,34.7,34.3,1081.27,2074.64,511.55,69393,50627347,826.9,,258.4
115,2011년 7월,3.25,370782.8,353512.7,356925.9,94.982,0.5,3.3,31.3,34.8,1059.5,2150.06,488.16,68582,50641565,839.7,,273.2
116,2011년 8월,3.25,370782.8,353512.7,356925.9,95.62,0.5,3,31.3,34.8,1073.17,1869.41,461.47,69375,50662739,839.7,,272.4
117,2011년 9월,3.25,370782.8,353512.7,356925.9,95.529,0.5,3,31.3,34.8,1118.61,1790.95,471.45,65410,50681829,839.7,,270
118,2011년 10월,3.25,372534,352132.7,355061.9,95.347,0.5,2.9,32.9,35.1,1155.45,1825.88,497.85,70235,50699478,861.4,,268.4
119,2011년 11월,3.25,372534,352132.7,355061.9,95.438,0.5,2.9,32.9,35.1,1132.31,1858.8,501.07,71993,50717719,861.4,,265.6
120,2011년 12월,3.25,372534,352132.7,355061.9,95.802,0.5,3,32.9,35.1,1147.45,1863.23,516.72,101622,50734284,861.4,,267.4
121,2012년 1월,3.25,375799.3,355987.3,359499.5,96.184,0.9,3.5,33.8,34.7,1145.85,1891.01,532.84,37051,50750837,862.9,62.76373563,271.2
122,2012년 2월,3.25,375799.3,355987.3,359499.5,96.549,0.9,4.2,33.8,34.7,1123.35,2003.23,532.37,53911,50767313,862.9,62.84313532,263.9
123,2012년 3월,3.25,375799.3,355987.3,359499.5,96.576,0.9,3.7,33.8,34.7,1125.9,2023.41,495.47,62724,50783029,862.9,62.90908868,262.9
124,2012년 4월,3.25,377917.1,357987.7,362793.9,96.567,0.6,3.5,31.8,35.1,1135.55,1995.92,474.83,59882,50801531,875,62.99281792,264.2
125,2012년 5월,3.25,377917.1,357987.7,362793.9,96.74,0.6,3.1,31.8,35.1,1154.27,1886.35,474.78,61420,50819380,875,63.09687758,270.2
126,2012년 6월,3.25,377917.1,357987.7,362793.9,96.603,0.6,3.2,31.8,35.1,1165.51,1848.6,480.6,51515,50832898,875,63.24930301,257.1
127,2012년 7월,3,379552.7,363294.2,366827.3,96.385,0.4,3.1,29.7,34.1,1143.36,1826.75,485.39,54893,50851082,885.7,63.33981783,251.1
128,2012년 8월,3,379552.7,363294.2,366827.3,96.831,0.4,3,29.7,34.1,1131.69,1918.91,518.73,50098,50871606,885.7,63.52717961,254.7
129,2012년 9월,3,379552.7,363294.2,366827.3,97.523,0.4,2.9,29.7,34.1,1124.78,1961.29,523.96,44339,50891223,885.7,63.90376304,270.4
130,2012년 10월,2.75,381467.5,363255.6,366536.7,97.341,0.5,2.8,29.1,34.2,1106.93,1942.19,503.9,66258,50912264,905.9,64.32268993,277.6
131,2012년 11월,2.75,381467.5,363255.6,366536.7,96.995,0.5,2.8,29.1,34.2,1087.52,1904.7,488.59,70833,50930805,905.9,64.68642339,274.1
132,2012년 12월,2.75,381467.5,363255.6,366536.7,97.168,0.5,2.9,29.1,34.2,1076.97,1973.84,508.58,103790,50948272,905.9,65.0067314,271.1
133,2013년 1월,2.75,384831,367763.8,370296.2,97.751,0.9,3.4,30.1,34.6,1065.35,1986.1,515.55,39477,50965180,909,65.37509028,274.4
134,2013년 2월,2.75,384831,367763.8,370296.2,98.078,0.9,3.9,30.1,34.6,1086.68,1979.85,547.08,48592,50991003,909,65.70192818,278
135,2013년 3월,2.75,384831,367763.8,370296.2,97.987,0.9,3.5,30.1,34.6,1102.2,1990.24,551.68,62934,51003843,909,66.0657087,284.5
136,2013년 4월,2.75,389358.3,374293.6,376886.6,97.851,1.2,3.2,29,35.1,1121.83,1938.88,571.9,77082,51018468,926.3,66.42027826,288.8
137,2013년 5월,2.5,389358.3,374293.6,376886.6,97.851,1.2,3,29,35.1,1110.67,1974.45,530.76,89599,51034494,926.3,66.53378596,283.6
138,2013년 6월,2.5,389358.3,374293.6,376886.6,97.732,1.2,3.1,29,35.1,1135.21,1884.41,534.23,119495,51047880,926.3,66.68215657,273.3
139,2013년 7월,2.5,392697.2,379137.9,381144.4,97.942,0.9,3.1,29.6,34.7,1127.23,1871.77,540.91,55342,51064841,938.9,66.96885308,272.3
140,2013년 8월,2.5,392697.2,379137.9,381144.4,98.288,0.9,3,29.6,34.7,1116.98,1896.96,527.96,53390,51081507,938.9,67.42466655,295.1
141,2013년 9월,2.5,392697.2,379137.9,381144.4,98.479,0.9,2.7,29.6,34.7,1087.35,1984.39,530.55,55564,51098531,938.9,67.82491391,305.5
142,2013년 10월,2.5,395787.2,380799.9,383298.4,98.179,0.8,2.7,30.2,34.8,1066.8,2029.68,513.81,89955,51115702,960.6,68.17274876,298
143,2013년 11월,2.5,395787.2,380799.9,383298.4,98.16,0.8,2.6,30.2,34.8,1062.82,2009.92,496.17,85975,51127984,960.6,68.46006804,294.6
144,2013년 12월,2.5,395787.2,380799.9,383298.4,98.279,0.8,3,30.2,34.8,1056.67,1988.33,512.44,99060,51141463,960.6,68.70328803,308.7
145,2014년 1월,2.5,399560.7,385013.6,384827.8,98.807,1,3.4,29.6,34.6,1064.75,1948.22,521.33,73570,51156168,965.3,69.05989325,316.9
